freeze OK t1=5ae1bdb0e71a all=0eeb421b90d4 engine={'engine_image': 'quantconnect/lean@sha256:dc84a683464681b2e6c9579bc7655e16d4802380367c77004e40a6a504088bd7', 'lean_cli': 'lean 1.0.227', 'git_rev': 'b11f5d122f97867cc5ed6d1c49ddee57e4628667'}
jobs=2367 workers=4
[639/2367] BANK2_BL-03_pct20__ref: cached
[640/2367] BANK2_BL-03_pct20__T_a_exec-set_ho_cross_-both_d_input_-adjust_warmup-strict: cached
[641/2367] BANK2_BL-03_pct20__T_a_exec-calc_s_cross_-today__input_-adjust_warmup-strict: cached
[642/2367] BANK2_BL-03_pct20__T_a_exec-set_ho_cross_-today__input_-adjust_warmup-strict: cached
[643/2367] BANK2_BL-03_pct20__T_a_exec-calc_s_cross_-both_d_input_-raw_warmup-strict: cached
[644/2367] BANK2_BL-03_pct20__T_a_exec-set_ho_cross_-both_d_input_-raw_warmup-strict: cached
[645/2367] BANK2_BL-03_pct20__T_a_exec-calc_s_cross_-today__input_-raw_warmup-strict: cached
[646/2367] BANK2_BL-03_pct20__T_a_exec-set_ho_cross_-today__input_-raw_warmup-strict: cached
[647/2367] BANK2_BL-03_pct20__T_a_exec-calc_s_cross_-both_d_input_-adjust_warmup-ready_: cached
[648/2367] BANK2_BL-03_pct20__T_a_exec-set_ho_cross_-both_d_input_-adjust_warmup-ready_: cached
[649/2367] BANK2_BL-03_pct20__T_a_exec-calc_s_cross_-today__input_-adjust_warmup-ready_: cached
[650/2367] BANK2_BL-03_pct20__T_a_exec-set_ho_cross_-today__input_-adjust_warmup-ready_: cached
[651/2367] BANK2_BL-03_pct20__T_a_exec-calc_s_cross_-both_d_input_-raw_warmup-ready_: cached
[652/2367] BANK2_BL-03_pct20__T_a_exec-set_ho_cross_-both_d_input_-raw_warmup-ready_: cached
[653/2367] BANK2_BL-03_pct20__T_a_exec-calc_s_cross_-today__input_-raw_warmup-ready_: cached
[654/2367] BANK2_BL-03_pct20__T_a_exec-set_ho_cross_-today__input_-raw_warmup-ready_: cached
[655/2367] BANK2_CROSS_au_wait__T_cross_-both_d_input_-adjust_warmup-ready_: ok fills=268 (33.3s)
[656/2367] BANK2_BL-03_pct20__OAT_rsi_exit-cross: cached
[657/2367] BANK2_BL-03_pct20__OAT_same_bar_reentry-wait_bar: cached
[658/2367] BANK2_BL-03_pct20__SPOT_all_excluded_off: cached
[659/2367] BANK2_BL-03_pct25__ref: cached
[660/2367] BANK2_BL-03_pct25__T_a_exec-set_ho_cross_-both_d_input_-adjust_warmup-strict: cached
[661/2367] BANK2_BL-03_pct25__T_a_exec-calc_s_cross_-today__input_-adjust_warmup-strict: cached
[662/2367] BANK2_BL-03_pct25__T_a_exec-set_ho_cross_-today__input_-adjust_warmup-strict: cached
[663/2367] BANK2_BL-03_pct25__T_a_exec-calc_s_cross_-both_d_input_-raw_warmup-strict: cached
[664/2367] BANK2_BL-03_pct25__T_a_exec-set_ho_cross_-both_d_input_-raw_warmup-strict: cached
[665/2367] BANK2_BL-03_pct25__T_a_exec-calc_s_cross_-today__input_-raw_warmup-strict: cached
[666/2367] BANK2_BL-03_pct25__T_a_exec-set_ho_cross_-today__input_-raw_warmup-strict: cached
[667/2367] BANK2_BL-03_pct25__T_a_exec-calc_s_cross_-both_d_input_-adjust_warmup-ready_: cached
[668/2367] BANK2_BL-03_pct25__T_a_exec-set_ho_cross_-both_d_input_-adjust_warmup-ready_: cached
[669/2367] BANK2_BL-03_pct25__T_a_exec-calc_s_cross_-today__input_-adjust_warmup-ready_: cached
[670/2367] BANK2_BL-03_pct25__T_a_exec-set_ho_cross_-today__input_-adjust_warmup-ready_: cached
[671/2367] BANK2_BL-03_pct25__T_a_exec-calc_s_cross_-both_d_input_-raw_warmup-ready_: cached
[672/2367] BANK2_BL-03_pct25__T_a_exec-set_ho_cross_-both_d_input_-raw_warmup-ready_: cached
[673/2367] BANK2_BL-03_pct25__T_a_exec-calc_s_cross_-today__input_-raw_warmup-ready_: cached
[674/2367] BANK2_BL-03_pct25__T_a_exec-set_ho_cross_-today__input_-raw_warmup-ready_: cached
[675/2367] BANK2_BL-03_pct25__OAT_rsi_smoothing-simple: cached
[676/2367] BANK2_BL-03_pct25__OAT_rsi_exit-cross: cached
[677/2367] BANK2_BL-03_pct25__OAT_same_bar_reentry-wait_bar: cached
[678/2367] BANK2_BL-03_pct25__SPOT_all_excluded_off: cached
[679/2367] BANK2_BL-03_pct40__ref: cached
[680/2367] BANK2_BL-03_pct40__T_a_exec-set_ho_cross_-both_d_input_-adjust_warmup-strict: cached
[681/2367] BANK2_BL-03_pct40__T_a_exec-calc_s_cross_-today__input_-adjust_warmup-strict: cached
[682/2367] BANK2_BL-03_pct40__T_a_exec-set_ho_cross_-today__input_-adjust_warmup-strict: cached
[683/2367] BANK2_CROSS_level_wait__ref: ok fills=268 (33.2s)
[684/2367] BANK2_BL-03_pct40__T_a_exec-set_ho_cross_-both_d_input_-raw_warmup-strict: cached
[685/2367] BANK2_BL-03_pct40__T_a_exec-calc_s_cross_-today__input_-raw_warmup-strict: cached
[686/2367] BANK2_BL-03_pct40__T_a_exec-set_ho_cross_-today__input_-raw_warmup-strict: cached
[687/2367] BANK2_BL-03_pct40__T_a_exec-calc_s_cross_-both_d_input_-adjust_warmup-ready_: cached
[688/2367] BANK2_BL-03_pct40__T_a_exec-set_ho_cross_-both_d_input_-adjust_warmup-ready_: cached
[689/2367] BANK2_BL-03_pct40__T_a_exec-calc_s_cross_-today__input_-adjust_warmup-ready_: cached
[690/2367] BANK2_BL-03_pct40__T_a_exec-set_ho_cross_-today__input_-adjust_warmup-ready_: cached
[691/2367] BANK2_BL-03_pct40__T_a_exec-calc_s_cross_-both_d_input_-raw_warmup-ready_: cached
[692/2367] BANK2_BL-03_pct40__T_a_exec-set_ho_cross_-both_d_input_-raw_warmup-ready_: cached
[693/2367] BANK2_BL-03_pct40__T_a_exec-calc_s_cross_-today__input_-raw_warmup-ready_: cached
[694/2367] BANK2_BL-03_pct40__T_a_exec-set_ho_cross_-today__input_-raw_warmup-ready_: cached
[695/2367] BANK2_BL-03_pct40__OAT_rsi_smoothing-simple: cached
[696/2367] BANK2_BL-03_pct40__OAT_rsi_exit-cross: cached
[697/2367] BANK2_BL-03_pct40__OAT_same_bar_reentry-wait_bar: cached
[698/2367] BANK2_BL-03_pct40__SPOT_all_excluded_off: cached
[699/2367] BANK2_BL-03_pct10__OAT_same_bar_reentry-wait_bar: ok fills=266 (31.1s)
[700/2367] BANK2_BL-03_pct50__T_a_exec-set_ho_cross_-both_d_input_-adjust_warmup-strict: cached
[701/2367] BANK2_BL-03_pct50__T_a_exec-calc_s_cross_-today__input_-adjust_warmup-strict: cached
[702/2367] BANK2_BL-03_pct50__T_a_exec-set_ho_cross_-today__input_-adjust_warmup-strict: cached
[703/2367] BANK2_BL-03_pct50__T_a_exec-calc_s_cross_-both_d_input_-raw_warmup-strict: cached
[704/2367] BANK2_BL-03_pct50__T_a_exec-set_ho_cross_-both_d_input_-raw_warmup-strict: cached
[705/2367] BANK2_BL-03_pct50__T_a_exec-calc_s_cross_-today__input_-raw_warmup-strict: cached
[706/2367] BANK2_BL-03_pct50__T_a_exec-set_ho_cross_-today__input_-raw_warmup-strict: cached
[707/2367] BANK2_BL-03_pct50__T_a_exec-calc_s_cross_-both_d_input_-adjust_warmup-ready_: cached
[708/2367] BANK2_BL-03_pct50__T_a_exec-set_ho_cross_-both_d_input_-adjust_warmup-ready_: cached
[709/2367] BANK2_BL-03_pct50__T_a_exec-calc_s_cross_-today__input_-adjust_warmup-ready_: cached
[710/2367] BANK2_BL-03_pct50__T_a_exec-set_ho_cross_-today__input_-adjust_warmup-ready_: cached
[711/2367] BANK2_BL-03_pct50__T_a_exec-calc_s_cross_-both_d_input_-raw_warmup-ready_: cached
[712/2367] BANK2_BL-03_pct50__T_a_exec-set_ho_cross_-both_d_input_-raw_warmup-ready_: cached
[713/2367] BANK2_BL-03_pct50__T_a_exec-calc_s_cross_-today__input_-raw_warmup-ready_: cached
[714/2367] BANK2_BL-03_pct50__T_a_exec-set_ho_cross_-today__input_-raw_warmup-ready_: cached
[715/2367] BANK2_BL-03_pct50__OAT_rsi_smoothing-simple: cached
[716/2367] BANK2_BL-03_pct50__OAT_rsi_exit-cross: cached
[717/2367] BANK2_BL-03_pct50__OAT_same_bar_reentry-wait_bar: cached
[718/2367] BANK2_BL-03_pct50__SPOT_all_excluded_off: cached
[719/2367] BANK2_BL-03_pct100__ref: cached
[720/2367] BANK2_BL-03_pct100__T_a_exec-set_ho_cross_-both_d_input_-adjust_warmup-strict: cached
[721/2367] BANK2_BL-03_pct100__T_a_exec-calc_s_cross_-today__input_-adjust_warmup-strict: cached
[722/2367] BANK2_BL-03_pct20__OAT_rsi_smoothing-simple: ok fills=270 (27.9s)
[723/2367] BANK2_BL-03_pct100__T_a_exec-calc_s_cross_-both_d_input_-raw_warmup-strict: cached
[724/2367] BANK2_BL-03_pct100__T_a_exec-set_ho_cross_-both_d_input_-raw_warmup-strict: cached
[725/2367] BANK2_BL-03_pct100__T_a_exec-calc_s_cross_-today__input_-raw_warmup-strict: cached
[726/2367] BANK2_BL-03_pct100__T_a_exec-set_ho_cross_-today__input_-raw_warmup-strict: cached
[727/2367] BANK2_BL-03_pct100__T_a_exec-calc_s_cross_-both_d_input_-adjust_warmup-ready_: cached
[728/2367] BANK2_BL-03_pct100__T_a_exec-set_ho_cross_-both_d_input_-adjust_warmup-ready_: cached
[729/2367] BANK2_BL-03_pct100__T_a_exec-calc_s_cross_-today__input_-adjust_warmup-ready_: cached
[730/2367] BANK2_BL-03_pct100__T_a_exec-set_ho_cross_-today__input_-adjust_warmup-ready_: cached
[731/2367] BANK2_BL-03_pct100__T_a_exec-calc_s_cross_-both_d_input_-raw_warmup-ready_: cached
[732/2367] BANK2_BL-03_pct100__T_a_exec-set_ho_cross_-both_d_input_-raw_warmup-ready_: cached
[733/2367] BANK2_BL-03_pct100__T_a_exec-calc_s_cross_-today__input_-raw_warmup-ready_: cached
[734/2367] BANK2_BL-03_pct100__T_a_exec-set_ho_cross_-today__input_-raw_warmup-ready_: cached
[735/2367] BANK2_BL-03_pct100__OAT_rsi_smoothing-simple: cached
[736/2367] BANK2_BL-03_pct100__OAT_rsi_exit-cross: cached
[737/2367] BANK2_BL-03_pct100__OAT_same_bar_reentry-wait_bar: cached
[738/2367] BANK2_BL-03_pct100__SPOT_all_excluded_off: cached
[739/2367] BANK2_BL-04_prev_close__ref: cached
[740/2367] BANK2_BL-04_prev_close__T_input_-raw_rsi_ex-level_rsi_sm-wilder_same_b-allowe_warmup-strict: cached
[741/2367] BANK2_BL-03_pct40__T_a_exec-calc_s_cross_-both_d_input_-raw_warmup-strict: ok fills=270 (27.3s)
[742/2367] BANK2_BL-04_prev_close__T_input_-raw_rsi_ex-level_rsi_sm-wilder_same_b-wait_b_warmup-strict: cached
[743/2367] BANK2_BL-04_prev_close__T_input_-adjust_rsi_ex-level_rsi_sm-wilder_same_b-allowe_warmup-ready_: cached
[744/2367] BANK2_BL-04_prev_close__T_input_-raw_rsi_ex-level_rsi_sm-wilder_same_b-allowe_warmup-ready_: cached
[745/2367] BANK2_BL-04_prev_close__T_input_-adjust_rsi_ex-level_rsi_sm-wilder_same_b-wait_b_warmup-ready_: cached
[746/2367] BANK2_BL-04_prev_close__T_input_-raw_rsi_ex-level_rsi_sm-wilder_same_b-wait_b_warmup-ready_: cached
[747/2367] BANK2_BL-04_prev_close__T_input_-adjust_rsi_ex-cross_rsi_sm-wilder_same_b-allowe_warmup-strict: cached
[748/2367] BANK2_BL-04_prev_close__T_input_-raw_rsi_ex-cross_rsi_sm-wilder_same_b-allowe_warmup-strict: cached
[749/2367] BANK2_BL-04_prev_close__T_input_-adjust_rsi_ex-cross_rsi_sm-wilder_same_b-wait_b_warmup-strict: cached
[750/2367] BANK2_BL-04_prev_close__T_input_-raw_rsi_ex-cross_rsi_sm-wilder_same_b-wait_b_warmup-strict: cached
[751/2367] BANK2_BL-04_prev_close__T_input_-adjust_rsi_ex-cross_rsi_sm-wilder_same_b-allowe_warmup-ready_: cached
[752/2367] BANK2_BL-04_prev_close__T_input_-raw_rsi_ex-cross_rsi_sm-wilder_same_b-allowe_warmup-ready_: cached
[753/2367] BANK2_BL-04_prev_close__T_input_-adjust_rsi_ex-cross_rsi_sm-wilder_same_b-wait_b_warmup-ready_: cached
[754/2367] BANK2_BL-04_prev_close__T_input_-raw_rsi_ex-cross_rsi_sm-wilder_same_b-wait_b_warmup-ready_: cached
[755/2367] BANK2_BL-04_prev_close__T_input_-adjust_rsi_ex-level_rsi_sm-simple_same_b-allowe_warmup-strict: cached
[756/2367] BANK2_BL-04_prev_close__T_input_-raw_rsi_ex-level_rsi_sm-simple_same_b-allowe_warmup-strict: cached
[757/2367] BANK2_BL-04_prev_close__T_input_-adjust_rsi_ex-level_rsi_sm-simple_same_b-wait_b_warmup-strict: cached
[758/2367] BANK2_BL-04_prev_close__T_input_-raw_rsi_ex-level_rsi_sm-simple_same_b-wait_b_warmup-strict: cached
[759/2367] BANK2_BL-04_prev_close__T_input_-adjust_rsi_ex-level_rsi_sm-simple_same_b-allowe_warmup-ready_: cached
[760/2367] BANK2_BL-04_prev_close__T_input_-raw_rsi_ex-level_rsi_sm-simple_same_b-allowe_warmup-ready_: cached
[761/2367] BANK2_BL-04_prev_close__T_input_-adjust_rsi_ex-level_rsi_sm-simple_same_b-wait_b_warmup-ready_: cached
[762/2367] BANK2_BL-04_prev_close__T_input_-raw_rsi_ex-level_rsi_sm-simple_same_b-wait_b_warmup-ready_: cached
[763/2367] BANK2_BL-04_prev_close__T_input_-adjust_rsi_ex-cross_rsi_sm-simple_same_b-allowe_warmup-strict: cached
[764/2367] BANK2_BL-04_prev_close__T_input_-raw_rsi_ex-cross_rsi_sm-simple_same_b-allowe_warmup-strict: cached
[765/2367] BANK2_BL-04_prev_close__T_input_-adjust_rsi_ex-cross_rsi_sm-simple_same_b-wait_b_warmup-strict: cached
[766/2367] BANK2_BL-03_pct50__ref: ok fills=270 (27.1s)
[767/2367] BANK2_BL-04_prev_close__T_input_-adjust_rsi_ex-cross_rsi_sm-simple_same_b-allowe_warmup-ready_: cached
[768/2367] BANK2_BL-04_prev_close__T_input_-raw_rsi_ex-cross_rsi_sm-simple_same_b-allowe_warmup-ready_: cached
[769/2367] BANK2_BL-04_prev_close__T_input_-adjust_rsi_ex-cross_rsi_sm-simple_same_b-wait_b_warmup-ready_: cached
[770/2367] BANK2_BL-04_prev_close__T_input_-raw_rsi_ex-cross_rsi_sm-simple_same_b-wait_b_warmup-ready_: cached
[771/2367] BANK2_BL-04_prev_close__OAT_a_exec-set_holdings: cached
[772/2367] BANK2_BL-04_prev_close__OAT_cross_timing-today_ma: cached
[773/2367] BANK2_BL-04_prev_close__SPOT_all_excluded_off: cached
[774/2367] BANK2_BL-04_open_close__ref: cached
[775/2367] BANK2_BL-04_open_close__T_input_-raw_rsi_ex-level_rsi_sm-wilder_same_b-allowe_warmup-strict: cached
[776/2367] BANK2_BL-04_open_close__T_input_-adjust_rsi_ex-level_rsi_sm-wilder_same_b-wait_b_warmup-strict: cached
[777/2367] BANK2_BL-04_open_close__T_input_-raw_rsi_ex-level_rsi_sm-wilder_same_b-wait_b_warmup-strict: cached
[778/2367] BANK2_BL-04_open_close__T_input_-adjust_rsi_ex-level_rsi_sm-wilder_same_b-allowe_warmup-ready_: cached
[779/2367] BANK2_BL-04_open_close__T_input_-raw_rsi_ex-level_rsi_sm-wilder_same_b-allowe_warmup-ready_: cached
[780/2367] BANK2_BL-04_open_close__T_input_-adjust_rsi_ex-level_rsi_sm-wilder_same_b-wait_b_warmup-ready_: cached
[781/2367] BANK2_BL-04_open_close__T_input_-raw_rsi_ex-level_rsi_sm-wilder_same_b-wait_b_warmup-ready_: cached
[782/2367] BANK2_BL-04_open_close__T_input_-adjust_rsi_ex-cross_rsi_sm-wilder_same_b-allowe_warmup-strict: cached
[783/2367] BANK2_BL-04_open_close__T_input_-raw_rsi_ex-cross_rsi_sm-wilder_same_b-allowe_warmup-strict: cached
[784/2367] BANK2_BL-04_open_close__T_input_-adjust_rsi_ex-cross_rsi_sm-wilder_same_b-wait_b_warmup-strict: cached
[785/2367] BANK2_BL-04_open_close__T_input_-raw_rsi_ex-cross_rsi_sm-wilder_same_b-wait_b_warmup-strict: cached
[786/2367] BANK2_BL-04_open_close__T_input_-adjust_rsi_ex-cross_rsi_sm-wilder_same_b-allowe_warmup-ready_: cached
[787/2367] BANK2_BL-04_open_close__T_input_-raw_rsi_ex-cross_rsi_sm-wilder_same_b-allowe_warmup-ready_: cached
[788/2367] BANK2_BL-04_open_close__T_input_-adjust_rsi_ex-cross_rsi_sm-wilder_same_b-wait_b_warmup-ready_: cached
[789/2367] BANK2_BL-04_open_close__T_input_-raw_rsi_ex-cross_rsi_sm-wilder_same_b-wait_b_warmup-ready_: cached
[790/2367] BANK2_BL-04_open_close__T_input_-adjust_rsi_ex-level_rsi_sm-simple_same_b-allowe_warmup-strict: cached
[791/2367] BANK2_BL-04_open_close__T_input_-raw_rsi_ex-level_rsi_sm-simple_same_b-allowe_warmup-strict: cached
[792/2367] BANK2_BL-04_open_close__T_input_-adjust_rsi_ex-level_rsi_sm-simple_same_b-wait_b_warmup-strict: cached
[793/2367] BANK2_BL-04_open_close__T_input_-raw_rsi_ex-level_rsi_sm-simple_same_b-wait_b_warmup-strict: cached
[794/2367] BANK2_BL-04_open_close__T_input_-adjust_rsi_ex-level_rsi_sm-simple_same_b-allowe_warmup-ready_: cached
[795/2367] BANK2_BL-04_open_close__T_input_-raw_rsi_ex-level_rsi_sm-simple_same_b-allowe_warmup-ready_: cached
[796/2367] BANK2_BL-04_open_close__T_input_-adjust_rsi_ex-level_rsi_sm-simple_same_b-wait_b_warmup-ready_: cached
[797/2367] BANK2_BL-04_open_close__T_input_-raw_rsi_ex-level_rsi_sm-simple_same_b-wait_b_warmup-ready_: cached
[798/2367] BANK2_BL-04_open_close__T_input_-adjust_rsi_ex-cross_rsi_sm-simple_same_b-allowe_warmup-strict: cached
[799/2367] BANK2_BL-03_pct100__T_a_exec-set_ho_cross_-today__input_-adjust_warmup-strict: ok fills=181 (27.2s)
[800/2367] BANK2_BL-04_open_close__T_input_-adjust_rsi_ex-cross_rsi_sm-simple_same_b-wait_b_warmup-strict: cached
[801/2367] BANK2_BL-04_open_close__T_input_-raw_rsi_ex-cross_rsi_sm-simple_same_b-wait_b_warmup-strict: cached
[802/2367] BANK2_BL-04_open_close__T_input_-adjust_rsi_ex-cross_rsi_sm-simple_same_b-allowe_warmup-ready_: cached
[803/2367] BANK2_BL-04_open_close__T_input_-raw_rsi_ex-cross_rsi_sm-simple_same_b-allowe_warmup-ready_: cached
[804/2367] BANK2_BL-04_open_close__T_input_-adjust_rsi_ex-cross_rsi_sm-simple_same_b-wait_b_warmup-ready_: cached
[805/2367] BANK2_BL-04_open_close__T_input_-raw_rsi_ex-cross_rsi_sm-simple_same_b-wait_b_warmup-ready_: cached
[806/2367] BANK2_BL-04_open_close__OAT_a_exec-set_holdings: cached
[807/2367] BANK2_BL-04_open_close__OAT_cross_timing-today_ma: cached
[808/2367] BANK2_BL-04_open_close__SPOT_all_excluded_off: cached
[809/2367] BANK2_BL-04_prev_close_le__ref: cached
[810/2367] BANK2_BL-04_prev_close_le__T_input_-raw_rsi_ex-level_rsi_sm-wilder_same_b-allowe_warmup-strict: cached
[811/2367] BANK2_BL-04_prev_close_le__T_input_-adjust_rsi_ex-level_rsi_sm-wilder_same_b-wait_b_warmup-strict: cached
[812/2367] BANK2_BL-04_prev_close_le__T_input_-raw_rsi_ex-level_rsi_sm-wilder_same_b-wait_b_warmup-strict: cached
[813/2367] BANK2_BL-04_prev_close_le__T_input_-adjust_rsi_ex-level_rsi_sm-wilder_same_b-allowe_warmup-ready_: cached
[814/2367] BANK2_BL-04_prev_close_le__T_input_-raw_rsi_ex-level_rsi_sm-wilder_same_b-allowe_warmup-ready_: cached
[815/2367] BANK2_BL-04_prev_close_le__T_input_-adjust_rsi_ex-level_rsi_sm-wilder_same_b-wait_b_warmup-ready_: cached
[816/2367] BANK2_BL-04_prev_close_le__T_input_-raw_rsi_ex-level_rsi_sm-wilder_same_b-wait_b_warmup-ready_: cached
[817/2367] BANK2_BL-04_prev_close_le__T_input_-adjust_rsi_ex-cross_rsi_sm-wilder_same_b-allowe_warmup-strict: cached
[818/2367] BANK2_BL-04_prev_close_le__T_input_-raw_rsi_ex-cross_rsi_sm-wilder_same_b-allowe_warmup-strict: cached
[819/2367] BANK2_BL-04_prev_close_le__T_input_-adjust_rsi_ex-cross_rsi_sm-wilder_same_b-wait_b_warmup-strict: cached
[820/2367] BANK2_BL-04_prev_close_le__T_input_-raw_rsi_ex-cross_rsi_sm-wilder_same_b-wait_b_warmup-strict: cached
[821/2367] BANK2_BL-04_prev_close_le__T_input_-adjust_rsi_ex-cross_rsi_sm-wilder_same_b-allowe_warmup-ready_: cached
[822/2367] BANK2_BL-04_prev_close_le__T_input_-raw_rsi_ex-cross_rsi_sm-wilder_same_b-allowe_warmup-ready_: cached
[823/2367] BANK2_BL-04_prev_close_le__T_input_-adjust_rsi_ex-cross_rsi_sm-wilder_same_b-wait_b_warmup-ready_: cached
[824/2367] BANK2_BL-04_prev_close_le__T_input_-raw_rsi_ex-cross_rsi_sm-wilder_same_b-wait_b_warmup-ready_: cached
[825/2367] BANK2_BL-04_prev_close_le__T_input_-adjust_rsi_ex-level_rsi_sm-simple_same_b-allowe_warmup-strict: cached
[826/2367] BANK2_BL-04_prev_close_le__T_input_-raw_rsi_ex-level_rsi_sm-simple_same_b-allowe_warmup-strict: cached
[827/2367] BANK2_BL-04_prev_close_le__T_input_-adjust_rsi_ex-level_rsi_sm-simple_same_b-wait_b_warmup-strict: cached
[828/2367] BANK2_BL-04_prev_close_le__T_input_-raw_rsi_ex-level_rsi_sm-simple_same_b-wait_b_warmup-strict: cached
[829/2367] BANK2_BL-04_prev_close_le__T_input_-adjust_rsi_ex-level_rsi_sm-simple_same_b-allowe_warmup-ready_: cached
[830/2367] BANK2_BL-04_prev_close_le__T_input_-raw_rsi_ex-level_rsi_sm-simple_same_b-allowe_warmup-ready_: cached
[831/2367] BANK2_BL-04_prev_close_le__T_input_-adjust_rsi_ex-level_rsi_sm-simple_same_b-wait_b_warmup-ready_: cached
[832/2367] BANK2_BL-04_prev_close_le__T_input_-raw_rsi_ex-level_rsi_sm-simple_same_b-wait_b_warmup-ready_: cached
[833/2367] BANK2_BL-04_prev_close_le__T_input_-adjust_rsi_ex-cross_rsi_sm-simple_same_b-allowe_warmup-strict: cached
[834/2367] BANK2_BL-04_prev_close_le__T_input_-raw_rsi_ex-cross_rsi_sm-simple_same_b-allowe_warmup-strict: cached
[835/2367] BANK2_BL-04_prev_close_le__T_input_-adjust_rsi_ex-cross_rsi_sm-simple_same_b-wait_b_warmup-strict: cached
[836/2367] BANK2_BL-04_prev_close_le__T_input_-raw_rsi_ex-cross_rsi_sm-simple_same_b-wait_b_warmup-strict: cached
[837/2367] BANK2_BL-04_prev_close_le__T_input_-adjust_rsi_ex-cross_rsi_sm-simple_same_b-allowe_warmup-ready_: cached
[838/2367] BANK2_BL-04_prev_close_le__T_input_-raw_rsi_ex-cross_rsi_sm-simple_same_b-allowe_warmup-ready_: cached
[839/2367] BANK2_BL-04_prev_close_le__T_input_-adjust_rsi_ex-cross_rsi_sm-simple_same_b-wait_b_warmup-ready_: cached
[840/2367] BANK2_BL-04_prev_close_le__T_input_-raw_rsi_ex-cross_rsi_sm-simple_same_b-wait_b_warmup-ready_: cached
[841/2367] BANK2_BL-04_prev_close_le__OAT_a_exec-set_holdings: cached
[842/2367] BANK2_BL-04_prev_close_le__OAT_cross_timing-today_ma: cached
[843/2367] BANK2_BL-04_prev_close_le__SPOT_all_excluded_off: cached
[844/2367] BANK2_BL-05_d2__ref: cached
[845/2367] BANK2_BL-05_d2__T_input_-raw_rsi_ex-level_rsi_sm-wilder_same_b-allowe_warmup-strict: cached
[846/2367] BANK2_BL-04_prev_close__T_input_-adjust_rsi_ex-level_rsi_sm-wilder_same_b-wait_b_warmup-strict: ok fills=266 (31.8s)
[847/2367] BANK2_BL-05_d2__T_input_-raw_rsi_ex-level_rsi_sm-wilder_same_b-wait_b_warmup-strict: cached
[848/2367] BANK2_BL-05_d2__T_input_-adjust_rsi_ex-level_rsi_sm-wilder_same_b-allowe_warmup-ready_: cached
[849/2367] BANK2_BL-05_d2__T_input_-raw_rsi_ex-level_rsi_sm-wilder_same_b-allowe_warmup-ready_: cached
[850/2367] BANK2_BL-05_d2__T_input_-adjust_rsi_ex-level_rsi_sm-wilder_same_b-wait_b_warmup-ready_: cached
[851/2367] BANK2_BL-05_d2__T_input_-raw_rsi_ex-level_rsi_sm-wilder_same_b-wait_b_warmup-ready_: cached
[852/2367] BANK2_BL-05_d2__T_input_-adjust_rsi_ex-cross_rsi_sm-wilder_same_b-allowe_warmup-strict: cached
[853/2367] BANK2_BL-05_d2__T_input_-raw_rsi_ex-cross_rsi_sm-wilder_same_b-allowe_warmup-strict: cached
[854/2367] BANK2_BL-05_d2__T_input_-adjust_rsi_ex-cross_rsi_sm-wilder_same_b-wait_b_warmup-strict: cached
[855/2367] BANK2_BL-04_prev_close__T_input_-raw_rsi_ex-cross_rsi_sm-simple_same_b-wait_b_warmup-strict: ok fills=390 (32.1s)
[856/2367] BANK2_BL-05_d2__T_input_-adjust_rsi_ex-cross_rsi_sm-wilder_same_b-allowe_warmup-ready_: cached
[857/2367] BANK2_BL-05_d2__T_input_-raw_rsi_ex-cross_rsi_sm-wilder_same_b-allowe_warmup-ready_: cached
[858/2367] BANK2_BL-05_d2__T_input_-adjust_rsi_ex-cross_rsi_sm-wilder_same_b-wait_b_warmup-ready_: cached
[859/2367] BANK2_BL-05_d2__T_input_-raw_rsi_ex-cross_rsi_sm-wilder_same_b-wait_b_warmup-ready_: cached
[860/2367] BANK2_BL-05_d2__T_input_-adjust_rsi_ex-level_rsi_sm-simple_same_b-allowe_warmup-strict: cached
[861/2367] BANK2_BL-05_d2__T_input_-raw_rsi_ex-level_rsi_sm-simple_same_b-allowe_warmup-strict: cached
[862/2367] BANK2_BL-05_d2__T_input_-adjust_rsi_ex-level_rsi_sm-simple_same_b-wait_b_warmup-strict: cached
[863/2367] BANK2_BL-05_d2__T_input_-raw_rsi_ex-level_rsi_sm-simple_same_b-wait_b_warmup-strict: cached
[864/2367] BANK2_BL-05_d2__T_input_-adjust_rsi_ex-level_rsi_sm-simple_same_b-allowe_warmup-ready_: cached
[865/2367] BANK2_BL-05_d2__T_input_-raw_rsi_ex-level_rsi_sm-simple_same_b-allowe_warmup-ready_: cached
[866/2367] BANK2_BL-05_d2__T_input_-adjust_rsi_ex-level_rsi_sm-simple_same_b-wait_b_warmup-ready_: cached
[867/2367] BANK2_BL-05_d2__T_input_-raw_rsi_ex-level_rsi_sm-simple_same_b-wait_b_warmup-ready_: cached
[868/2367] BANK2_BL-05_d2__T_input_-adjust_rsi_ex-cross_rsi_sm-simple_same_b-allowe_warmup-strict: cached
[869/2367] BANK2_BL-05_d2__T_input_-raw_rsi_ex-cross_rsi_sm-simple_same_b-allowe_warmup-strict: cached
[870/2367] BANK2_BL-05_d2__T_input_-adjust_rsi_ex-cross_rsi_sm-simple_same_b-wait_b_warmup-strict: cached
[871/2367] BANK2_BL-05_d2__T_input_-raw_rsi_ex-cross_rsi_sm-simple_same_b-wait_b_warmup-strict: cached
[872/2367] BANK2_BL-05_d2__T_input_-adjust_rsi_ex-cross_rsi_sm-simple_same_b-allowe_warmup-ready_: cached
