=== grading cloud_BL-00_attempts1.collected
cloud_BL-01b_attempts4.collected #10: coded code=p20
cloud_BL-01b_attempts4.collected #15: no-program code=None
cloud_BL-01b_attempts4.collected #6: no-program code=None
cloud_BL-01b_attempts4.collected #2: no-program code=None
cloud_BL-01b_attempts4.collected #12: coded code=p20
cloud_BL-01b_attempts4.collected #13: coded code=p20
cloud_BL-01b_attempts4.collected #9: coded code=p20
cloud_BL-01b_attempts4.collected #1: no-program code=None
cloud_BL-01b_attempts4.collected #3: no-program code=None
cloud_BL-01b_attempts4.collected #11: no-program code=None
cloud_BL-01b_attempts4.collected #0: no-program code=None
cloud_BL-01b_attempts4.collected #16: no-program code=None
cloud_BL-01b_attempts4.collected #19: no-program code=None
cloud_BL-01b_attempts4.collected #7: no-program code=None
cloud_BL-01b_attempts4.collected #5: coded code=p20
cloud_BL-01b_attempts4.collected #17: coded code=p20
cloud_BL-01b_attempts4.collected #8: coded code=p20
cloud_BL-01b_attempts4.collected #18: coded code=p20
cloud_BL-01b_attempts4.collected #14: no-program code=None
cloud_BL-01b_attempts4.collected #22: no-program code=None
cloud_BL-01b_attempts4.collected #20: coded code=p20
cloud_BL-01b_attempts4.collected #21: coded code=p20
cloud_BL-01b_attempts4.collected #23: coded code=p20
cloud_BL-01b_attempts4.collected #28: coded code=p20
cloud_BL-01b_attempts4.collected #25: non-runnable code=None
cloud_BL-01b_attempts4.collected #26: coded code=p20
cloud_BL-01b_attempts4.collected #24: coded code=p200
cloud_BL-01b_attempts4.collected #27: no-program code=None
cloud_BL-01b_attempts4.collected #29: coded code=p20
GRADED cloud_BL-01b_attempts4.collected: +30 (total 30)
=== grading cloud_BL-01c_attempts1.collected
cloud_BL-01c_attempts1.collected #16: coded code=SMA20
cloud_BL-01c_attempts1.collected #14: no-program code=None
cloud_BL-01c_attempts1.collected #4: coded code=SMA200
cloud_BL-01c_attempts1.collected #17: coded code=SMA20
cloud_BL-01c_attempts1.collected #5: non-runnable code=None
cloud_BL-01c_attempts1.collected #25: coded code=SMA20
cloud_BL-01c_attempts1.collected #22: coded code=SMA20
cloud_BL-01c_attempts1.collected #20: no-program code=None
cloud_BL-01c_attempts1.collected #54: coded code=SMA20
cloud_BL-01c_attempts1.collected #57: coded code=SMA200
cloud_BL-01c_attempts1.collected #55: coded code=SMA20
cloud_BL-01c_attempts1.collected #56: coded code=SMA20
cloud_BL-01c_attempts1.collected #58: coded code=SMA20
cloud_BL-01c_attempts1.collected #60: coded code=SMA20
cloud_BL-01c_attempts1.collected #61: no-program code=None
cloud_BL-01c_attempts1.collected #80: coded code=SMA20
cloud_BL-01c_attempts1.collected #81: coded code=SMA20
cloud_BL-01c_attempts1.collected #84: coded code=SMA20
cloud_BL-01c_attempts1.collected #82: non-runnable code=None
cloud_BL-01c_attempts1.collected #83: no-program code=None
cloud_BL-01c_attempts1.collected #105: coded code=SMA20
cloud_BL-01c_attempts1.collected #106: coded code=SMA20
cloud_BL-01c_attempts1.collected #109: coded code=SMA20
cloud_BL-01c_attempts1.collected #91: no-program code=None
cloud_BL-01c_attempts1.collected #89: coded code=SMA20
cloud_BL-01c_attempts1.collected #94: coded code=SMA20
cloud_BL-01c_attempts1.collected #121: coded code=SMA20
cloud_BL-01c_attempts1.collected #123: coded code=SMA20
cloud_BL-01c_attempts1.collected #120: coded code=SMA20
cloud_BL-01c_attempts1.collected #125: coded code=SMA20
cloud_BL-01c_attempts1.collected #135: coded code=SMA20
cloud_BL-01c_attempts1.collected #136: coded code=SMA20
cloud_BL-01c_attempts1.collected #138: coded code=SMA20
cloud_BL-01c_attempts1.collected #139: coded code=SMA20
cloud_BL-01c_attempts1.collected #137: coded code=SMA20
cloud_BL-01c_attempts1.collected #140: coded code=SMA200
cloud_BL-01c_attempts1.collected #141: coded code=SMA20
cloud_BL-01c_attempts1.collected #142: coded code=SMA20
cloud_BL-01c_attempts1.collected #143: coded code=SMA20
cloud_BL-01c_attempts1.collected #144: non-runnable code=None
cloud_BL-01c_attempts1.collected #146: coded code=SMA20
cloud_BL-01c_attempts1.collected #150: coded code=SMA20
cloud_BL-01c_attempts1.collected #147: coded code=SMA20
cloud_BL-01c_attempts1.collected #145: coded code=SMA20
cloud_BL-01c_attempts1.collected #148: coded code=SMA20
cloud_BL-01c_attempts1.collected #149: coded code=SMA20
cloud_BL-01c_attempts1.collected #151: coded code=SMA20
cloud_BL-01c_attempts1.collected #153: non-runnable code=None
cloud_BL-01c_attempts1.collected #152: non-runnable code=None
cloud_BL-01c_attempts1.collected #154: non-runnable code=None
cloud_BL-01c_attempts1.collected #155: coded code=SMA20
cloud_BL-01c_attempts1.collected #156: coded code=SMA20
cloud_BL-01c_attempts1.collected #157: coded code=SMA20
cloud_BL-01c_attempts1.collected #159: coded code=SMA50
cloud_BL-01c_attempts1.collected #158: non-runnable code=None
cloud_BL-01c_attempts1.collected #161: coded code=SMA20
cloud_BL-01c_attempts1.collected #160: coded code=SMA20
cloud_BL-01c_attempts1.collected #165: coded code=SMA20
cloud_BL-01c_attempts1.collected #162: coded code=SMA20
cloud_BL-01c_attempts1.collected #163: coded code=SMA20
cloud_BL-01c_attempts1.collected #164: coded code=SMA20
cloud_BL-01c_attempts1.collected #166: coded code=SMA20
cloud_BL-01c_attempts1.collected #167: coded code=SMA20
cloud_BL-01c_attempts1.collected #169: coded code=SMA20
cloud_BL-01c_attempts1.collected #170: coded code=SMA20
cloud_BL-01c_attempts1.collected #168: coded code=SMA20
cloud_BL-01c_attempts1.collected #173: coded code=SMA20
cloud_BL-01c_attempts1.collected #171: coded code=SMA20
cloud_BL-01c_attempts1.collected #174: coded code=SMA20
cloud_BL-01c_attempts1.collected #175: no-program code=None
cloud_BL-01c_attempts1.collected #172: coded code=SMA50
cloud_BL-01c_attempts1.collected #179: coded code=SMA50
cloud_BL-01c_attempts1.collected #177: coded code=SMA20
cloud_BL-01c_attempts1.collected #178: coded code=SMA50
cloud_BL-01c_attempts1.collected #180: coded code=SMA20
cloud_BL-01c_attempts1.collected #176: coded code=SMA20
cloud_BL-01c_attempts1.collected #183: coded code=SMA20
cloud_BL-01c_attempts1.collected #182: coded code=SMA20
cloud_BL-01c_attempts1.collected #181: coded code=SMA20
cloud_BL-01c_attempts1.collected #188: coded code=SMA20
cloud_BL-01c_attempts1.collected #185: non-runnable code=None
cloud_BL-01c_attempts1.collected #187: coded code=SMA20
cloud_BL-01c_attempts1.collected #191: coded code=SMA200
cloud_BL-01c_attempts1.collected #190: coded code=SMA20
cloud_BL-01c_attempts1.collected #186: coded code=SMA20
cloud_BL-01c_attempts1.collected #184: coded code=SMA20
cloud_BL-01c_attempts1.collected #189: coded code=SMA20
cloud_BL-01c_attempts1.collected #192: coded code=SMA20
cloud_BL-01c_attempts1.collected #193: coded code=SMA20
cloud_BL-01c_attempts1.collected #194: coded code=SMA20
cloud_BL-01c_attempts1.collected #199: coded code=SMA20
cloud_BL-01c_attempts1.collected #195: coded code=SMA20
cloud_BL-01c_attempts1.collected #198: coded code=SMA20
cloud_BL-01c_attempts1.collected #196: coded code=SMA20
cloud_BL-01c_attempts1.collected #197: coded code=SMA20
cloud_BL-01c_attempts1.collected #29: coded code=SMA20
cloud_BL-01c_attempts1.collected #31: coded code=SMA20
cloud_BL-01c_attempts1.collected #52: coded code=SMA20
cloud_BL-01c_attempts1.collected #59: coded code=SMA20
cloud_BL-01c_attempts1.collected #62: coded code=SMA20
cloud_BL-01c_attempts1.collected #63: coded code=SMA20
cloud_BL-01c_attempts1.collected #65: coded code=SMA50
cloud_BL-01c_attempts1.collected #67: coded code=SMA20
cloud_BL-01c_attempts1.collected #68: no-program code=None
cloud_BL-01c_attempts1.collected #96: coded code=SMA20
cloud_BL-01c_attempts1.collected #95: coded code=SMA20
cloud_BL-01c_attempts1.collected #97: coded code=SMA20
cloud_BL-01c_attempts1.collected #93: coded code=SMA20
cloud_BL-01c_attempts1.collected #92: no-program code=None
cloud_BL-01c_attempts1.collected #21: coded code=SMA20
cloud_BL-01c_attempts1.collected #26: coded code=SMA20
cloud_BL-01c_attempts1.collected #32: coded code=SMA50
cloud_BL-01c_attempts1.collected #24: coded code=SMA20
cloud_BL-01c_attempts1.collected #27: coded code=SMA200
cloud_BL-01c_attempts1.collected #79: coded code=SMA20
cloud_BL-01c_attempts1.collected #86: coded code=SMA20
cloud_BL-01c_attempts1.collected #87: coded code=SMA20
cloud_BL-01c_attempts1.collected #85: coded code=SMA20
cloud_BL-01c_attempts1.collected #98: coded code=SMA20
cloud_BL-01c_attempts1.collected #99: coded code=SMA20
cloud_BL-01c_attempts1.collected #100: coded code=SMA20
cloud_BL-01c_attempts1.collected #101: non-runnable code=None
cloud_BL-01c_attempts1.collected #103: coded code=SMA20
cloud_BL-01c_attempts1.collected #51: coded code=SMA20
cloud_BL-01c_attempts1.collected #53: coded code=SMA20
cloud_BL-01c_attempts1.collected #66: no-program code=None
cloud_BL-01c_attempts1.collected #64: coded code=SMA20
cloud_BL-01c_attempts1.collected #69: coded code=SMA20
cloud_BL-01c_attempts1.collected #71: coded code=SMA20
cloud_BL-01c_attempts1.collected #70: coded code=SMA200
cloud_BL-01c_attempts1.collected #127: coded code=SMA20
cloud_BL-01c_attempts1.collected #128: coded code=SMA20
cloud_BL-01c_attempts1.collected #132: coded code=SMA20
cloud_BL-01c_attempts1.collected #133: coded code=SMA20
cloud_BL-01c_attempts1.collected #129: coded code=SMA20
cloud_BL-01c_attempts1.collected #134: coded code=SMA20
cloud_BL-01c_attempts1.collected #130: coded code=SMA20
cloud_BL-01c_attempts1.collected #131: coded code=SMA20
cloud_BL-01c_attempts1.collected #1: coded code=SMA20
cloud_BL-01c_attempts1.collected #6: coded code=SMA20
cloud_BL-01c_attempts1.collected #13: coded code=SMA20
cloud_BL-01c_attempts1.collected #19: no-program code=None
cloud_BL-01c_attempts1.collected #9: coded code=SMA20
cloud_BL-01c_attempts1.collected #12: coded code=SMA20
cloud_BL-01c_attempts1.collected #15: no-program code=None
cloud_BL-01c_attempts1.collected #48: coded code=SMA200
cloud_BL-01c_attempts1.collected #50: coded code=SMA20
cloud_BL-01c_attempts1.collected #49: no-program code=None
cloud_BL-01c_attempts1.collected #0: coded code=SMA20
cloud_BL-01c_attempts1.collected #3: coded code=SMA20
cloud_BL-01c_attempts1.collected #7: coded code=SMA20
cloud_BL-01c_attempts1.collected #23: coded code=SMA20
cloud_BL-01c_attempts1.collected #34: no-program code=None
cloud_BL-01c_attempts1.collected #30: coded code=SMA20
cloud_BL-01c_attempts1.collected #38: no-program code=None
cloud_BL-01c_attempts1.collected #90: non-runnable code=None
cloud_BL-01c_attempts1.collected #122: coded code=SMA20
cloud_BL-01c_attempts1.collected #124: coded code=SMA20
cloud_BL-01c_attempts1.collected #126: coded code=SMA20
cloud_BL-01c_attempts1.collected #102: coded code=SMA20
cloud_BL-01c_attempts1.collected #104: coded code=SMA20
cloud_BL-01c_attempts1.collected #108: coded code=SMA20
cloud_BL-01c_attempts1.collected #107: coded code=SMA20
cloud_BL-01c_attempts1.collected #110: coded code=SMA20
cloud_BL-01c_attempts1.collected #111: coded code=SMA20
cloud_BL-01c_attempts1.collected #112: coded code=SMA20
cloud_BL-01c_attempts1.collected #113: coded code=SMA20
cloud_BL-01c_attempts1.collected #114: no-program code=None
cloud_BL-01c_attempts1.collected #116: coded code=SMA20
cloud_BL-01c_attempts1.collected #77: coded code=SMA20
cloud_BL-01c_attempts1.collected #78: coded code=SMA20
cloud_BL-01c_attempts1.collected #117: coded code=SMA20
cloud_BL-01c_attempts1.collected #115: no-program code=None
cloud_BL-01c_attempts1.collected #118: coded code=SMA20
cloud_BL-01c_attempts1.collected #119: coded code=SMA20
cloud_BL-01c_attempts1.collected #88: coded code=SMA20
cloud_BL-01c_attempts1.collected #2: coded code=SMA20
cloud_BL-01c_attempts1.collected #11: coded code=DRIFT
cloud_BL-01c_attempts1.collected #8: coded code=SMA20
cloud_BL-01c_attempts1.collected #18: coded code=SMA20
cloud_BL-01c_attempts1.collected #10: coded code=SMA20
cloud_BL-01c_attempts1.collected #37: coded code=SMA20
cloud_BL-01c_attempts1.collected #40: coded code=SMA20
cloud_BL-01c_attempts1.collected #41: coded code=SMA20
cloud_BL-01c_attempts1.collected #43: no-program code=None
cloud_BL-01c_attempts1.collected #45: coded code=SMA20
cloud_BL-01c_attempts1.collected #44: non-runnable code=None
cloud_BL-01c_attempts1.collected #42: coded code=SMA20
cloud_BL-01c_attempts1.collected #46: coded code=SMA20
cloud_BL-01c_attempts1.collected #47: no-program code=None
cloud_BL-01c_attempts1.collected #72: coded code=SMA20
cloud_BL-01c_attempts1.collected #73: coded code=SMA20
cloud_BL-01c_attempts1.collected #75: no-program code=None
cloud_BL-01c_attempts1.collected #74: coded code=SMA20
cloud_BL-01c_attempts1.collected #76: no-program code=None
cloud_BL-01c_attempts1.collected #35: coded code=SMA20
cloud_BL-01c_attempts1.collected #33: coded code=SMA20
cloud_BL-01c_attempts1.collected #36: non-runnable code=None
cloud_BL-01c_attempts1.collected #39: coded code=SMA20
GRADED cloud_BL-01c_attempts1.collected: +199 (total 199)
=== grading cloud_BL-01c_attempts1_noask.collected
cloud_BL-01c_attempts1_noask.collected #0: coded code=SMA50
cloud_BL-01c_attempts1_noask.collected #1: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #3: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #2: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #4: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #5: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #6: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #7: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #9: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #10: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #8: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #11: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #13: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #15: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #16: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #12: no-program code=None
cloud_BL-01c_attempts1_noask.collected #14: coded code=SMA200
cloud_BL-01c_attempts1_noask.collected #17: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #22: coded code=SMA200
cloud_BL-01c_attempts1_noask.collected #20: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #21: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #23: non-runnable code=None
cloud_BL-01c_attempts1_noask.collected #19: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #18: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #24: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #28: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #25: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #27: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #26: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #29: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #33: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #37: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #36: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #44: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #40: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #41: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #45: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #42: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #43: coded code=SMA50
cloud_BL-01c_attempts1_noask.collected #38: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #39: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #46: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #47: coded code=SMA200
cloud_BL-01c_attempts1_noask.collected #49: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #50: no-program code=None
cloud_BL-01c_attempts1_noask.collected #48: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #53: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #52: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #51: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #55: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #58: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #57: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #56: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #59: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #60: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #54: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #74: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #76: no-program code=None
cloud_BL-01c_attempts1_noask.collected #71: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #77: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #78: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #79: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #32: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #34: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #35: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #66: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #65: coded code=SMA200
cloud_BL-01c_attempts1_noask.collected #64: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #67: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #70: no-program code=None
cloud_BL-01c_attempts1_noask.collected #72: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #75: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #63: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #31: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #30: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #61: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #62: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #73: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #69: coded code=SMA20
cloud_BL-01c_attempts1_noask.collected #68: coded code=SMA20
GRADED cloud_BL-01c_attempts1_noask.collected: +80 (total 80)
=== grading cloud_BL-01c_attempts4.collected
cloud_BL-01c_attempts4.collected #0: coded code=SMA20
cloud_BL-01c_attempts4.collected #1: coded code=SMA20
cloud_BL-01c_attempts4.collected #4: coded code=SMA20
cloud_BL-01c_attempts4.collected #2: coded code=SMA20
cloud_BL-01c_attempts4.collected #3: coded code=SMA20
cloud_BL-01c_attempts4.collected #5: no-program code=None
cloud_BL-01c_attempts4.collected #21: coded code=DRIFT
cloud_BL-01c_attempts4.collected #23: coded code=SMA20
cloud_BL-01c_attempts4.collected #22: coded code=SMA20
cloud_BL-01c_attempts4.collected #24: coded code=SMA20
cloud_BL-01c_attempts4.collected #26: coded code=SMA20
cloud_BL-01c_attempts4.collected #25: coded code=SMA20
cloud_BL-01c_attempts4.collected #27: coded code=SMA20
cloud_BL-01c_attempts4.collected #29: coded code=SMA20
cloud_BL-01c_attempts4.collected #28: no-program code=None
cloud_BL-01c_attempts4.collected #6: coded code=SMA200
cloud_BL-01c_attempts4.collected #7: coded code=SMA20
cloud_BL-01c_attempts4.collected #8: coded code=SMA20
cloud_BL-01c_attempts4.collected #9: coded code=SMA20
cloud_BL-01c_attempts4.collected #10: coded code=SMA20
cloud_BL-01c_attempts4.collected #11: coded code=SMA50
cloud_BL-01c_attempts4.collected #14: coded code=SMA20
cloud_BL-01c_attempts4.collected #12: coded code=SMA20
cloud_BL-01c_attempts4.collected #13: coded code=SMA20
cloud_BL-01c_attempts4.collected #15: non-runnable code=None
cloud_BL-01c_attempts4.collected #16: coded code=SMA20
cloud_BL-01c_attempts4.collected #17: coded code=SMA20
cloud_BL-01c_attempts4.collected #18: coded code=SMA20
cloud_BL-01c_attempts4.collected #19: no-program code=None
cloud_BL-01c_attempts4.collected #20: coded code=SMA20
GRADED cloud_BL-01c_attempts4.collected: +30 (total 30)
=== grading cloud_BL-02b_attempts1.collected
cloud_BL-02b_attempts1.collected #0: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02b_attempts1.collected #2: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02b_attempts1.collected #3: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02b_attempts1.collected #5: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02b_attempts1.collected #4: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02b_attempts1.collected #1: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02b_attempts1.collected #7: coded code=LEVEL
cloud_BL-02b_attempts1.collected #6: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02b_attempts1.collected #8: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02b_attempts1.collected #9: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02b_attempts1.collected #10: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02b_attempts1.collected #11: non-runnable code=None
cloud_BL-02b_attempts1.collected #13: non-runnable code=None
cloud_BL-02b_attempts1.collected #12: coded code=LEVEL
cloud_BL-02b_attempts1.collected #16: non-runnable code=None
cloud_BL-02b_attempts1.collected #15: coded code=LEVEL
cloud_BL-02b_attempts1.collected #14: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02b_attempts1.collected #17: coded code=LEVEL
cloud_BL-02b_attempts1.collected #19: coded code=LEVEL
cloud_BL-02b_attempts1.collected #18: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02b_attempts1.collected #20: coded code=LEVEL
cloud_BL-02b_attempts1.collected #22: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02b_attempts1.collected #21: coded code=LEVEL
cloud_BL-02b_attempts1.collected #23: coded code=LEVEL
cloud_BL-02b_attempts1.collected #25: coded code=LEVEL
cloud_BL-02b_attempts1.collected #24: coded code=LEVEL
cloud_BL-02b_attempts1.collected #26: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02b_attempts1.collected #27: coded code=LEVEL
cloud_BL-02b_attempts1.collected #28: coded code=LEVEL
cloud_BL-02b_attempts1.collected #29: coded code=AMBIGUOUS-AT-TUPLE
GRADED cloud_BL-02b_attempts1.collected: +30 (total 30)
=== grading cloud_BL-02bp_attempts1.collected
cloud_BL-02bp_attempts1.collected #0: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #2: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #3: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #4: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #5: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #1: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #10: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #8: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #7: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #6: no-program code=None
cloud_BL-02bp_attempts1.collected #9: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #11: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #14: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #13: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #15: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #17: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #16: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #12: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #18: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #20: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #19: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #21: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #22: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #23: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #27: coded code=LEVEL
cloud_BL-02bp_attempts1.collected #26: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #25: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #24: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #29: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02bp_attempts1.collected #28: coded code=AMBIGUOUS-AT-TUPLE
GRADED cloud_BL-02bp_attempts1.collected: +30 (total 30)
=== grading cloud_BL-02c_attempts1.collected
cloud_BL-02c_attempts1.collected #0: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02c_attempts1.collected #1: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02c_attempts1.collected #3: coded code=LEVEL
cloud_BL-02c_attempts1.collected #2: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02c_attempts1.collected #4: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02c_attempts1.collected #5: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02c_attempts1.collected #6: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02c_attempts1.collected #7: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02c_attempts1.collected #8: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02c_attempts1.collected #9: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02c_attempts1.collected #11: coded code=DRIFT
cloud_BL-02c_attempts1.collected #10: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02c_attempts1.collected #12: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02c_attempts1.collected #13: non-runnable code=None
cloud_BL-02c_attempts1.collected #15: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02c_attempts1.collected #14: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02c_attempts1.collected #16: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02c_attempts1.collected #17: no-program code=None
cloud_BL-02c_attempts1.collected #18: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02c_attempts1.collected #19: coded code=LEVEL
cloud_BL-02c_attempts1.collected #22: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02c_attempts1.collected #20: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02c_attempts1.collected #21: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02c_attempts1.collected #23: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02c_attempts1.collected #24: coded code=LEVEL
cloud_BL-02c_attempts1.collected #27: coded code=LEVEL
cloud_BL-02c_attempts1.collected #25: coded code=AMBIGUOUS-AT-TUPLE
cloud_BL-02c_attempts1.collected #26: no-program code=None
cloud_BL-02c_attempts1.collected #28: no-program code=None
cloud_BL-02c_attempts1.collected #29: coded code=LEVEL
GRADED cloud_BL-02c_attempts1.collected: +30 (total 30)
=== grading cloud_BL-03_attempts1.collected
cloud_BL-03_attempts1.collected #0: no-implementation code=None
cloud_BL-03_attempts1.collected #3: coded code=pct100
cloud_BL-03_attempts1.collected #6: no-implementation code=None
cloud_BL-03_attempts1.collected #22: no-implementation code=None
